17,1,213,154,225,225,-0.129978418,0,0.638574243,0,0.162438869,0,0.410631418,0,-0.062835157,0,-0.097198248,0,-0.047964931,0,0.286670446,0,0.208136916,0,1.852617383,0,-0.129978418,0,0.638574243,0,-0.5332236,-0.2104165,-1.375707,-1.192002,-1.952743,-1.516445,-3.312755,-0.8715114,-2.064366,-1.155737,-0.8840519,0.4402485,-0.08175956,-2.264019,-0.8655075,-0.2782773,-2.579517,-2.023487,-2.502418,0.3797743,-8.822334,5.401281,2.296072,266.5317,215.0956,0,0,305.5438,223.774,359.0187,218.3655,0,0,400.499,215.0301,331.7694,277.4058,0,0
18,1,213,154,226,226,-0.194468498,0,0.730426431,0,0.174112678,0,0.3842659,0,-0.092363834,0,-0.139500141,0,-0.090350389,0,0.262614608,0,0.251409888,0,1.795968056,0,-0.194468498,0,0.730426431,0,-0.5447897,-0.2015824,-1.365491,-1.150426,-1.973923,-1.534113,-3.301726,-0.9040543,-2.074825,-1.112429,-0.9326038,0.5108015,-0.05454563,-2.369747,-0.8182495,-0.2332821,-2.635011,-2.043015,-2.519635,0.354206,-8.841683,5.28308,2.363845,266.6149,215.0306,0,0,306.0319,223.9711,359.2681,218.5988,0,0,401.1573,214.9012,332.3655,277.6255,0,0
19,1,213,154,226,226,-0.217668056,0,0.702856541,0,0.145230979,0,0.376946807,0,-0.072999895,0,-0.118893623,0,-0.041375399,0,0.230570078,0,0.254472256,0,1.790474296,0,-0.217668056,0,0.702856541,0,-0.5183064,-0.2150358,-1.386132,-1.164454,-1.958472,-1.552834,-3.316079,-0.883863,-2.098985,-1.123151,-0.8755493,0.5801764,-0.08104554,-2.390259,-0.8340452,-0.2505837,-2.647942,-2.046613,-2.562335,0.3045108,-8.878198,5.157176,2.39419,266.4842,215.0507,0,0,305.9794,224.3829,360.0024,218.4473,0,0,400.6567,214.9474,332.301,277.6215,0,0
20,1,213,154,226,226,-0.248174906,0,0.759164214,0,0.227755204,0,0.385197401,0,-0.10401547,0,-0.078361034,0,-0.09039712,0,0.301258922,0,0.25673902,0,1.8021878,0,-0.248174906,0,0.759164214,0,-0.5289508,-0.1907704,-1.344637,-1.141681,-1.955862,-1.522813,-3.220387,-0.8603976,-2.111514,-1.158893,-0.9713416,0.5034797,-0.001839872,-2.375828,-0.8714716,-0.2727065,-2.628281,-2.052836,-2.543522,0.4057184,-9.076921,5.312129,2.437659,267.4721,215.0059,0,0,305.8887,223.5126,361.0784,218.6405,0,0,400.9328,214.9296,332.4813,277.7273,0,0
21,1,213,154,226,226,-0.109807253,0,0.677255273,0,0.165679127,0,0.400897264,0,-0.061763823,0,-0.081927776,0,-0.008011341,0,0.275523782,0,0.244786024,0,1.813980579,0,-0.109807253,0,0.677255273,0,-0.5291358,-0.2247163,-1.360364,-1.172855,-1.917412,-1.51798,-3.249501,-0.8743663,-2.072184,-1.123705,-0.9057876,0.5390396,-0.02195934,-2.340911,-0.8513511,-0.2475919,-2.612412,-2.014462,-2.50759,0.3376852,-9.140991,5.283127,2.459349,267.0816,215.2949,0,0,305.5525,223.3582,361.025,218.6979,0,0,400.5933,215.0173,332.5151,277.5212,0,0
22,1,214,154,225,225,-0.198673487,0,0.646405101,0,0.343772635,0,0.387185574,0,-0.111176908,0,-0.059976578,0,-0.13025105,0,0.262877464,0,0.119041085,0,1.874149084,0,-0.198673487,0,0.646405101,0,-0.5344049,-0.1560473,-1.29674,-1.034994,-2.044197,-1.441947,-3.268117,-0.8987799,-2.157005,-1.266395,-1.041481,0.3928013,-0.09390309,-2.219791,-1.027255,-0.39971,-2.475407,-1.940136,-2.399715,0.2503732,-9.169316,5.339784,2.424288,267.5482,214.676,0,0,305.9719,223.3842,361.2419,218.3957,0,0,399.7571,214.28,333.1529,277.6121,0,0
23,1,213,154,225,225,-0.033325195,0,0.770129919,0,0.262872919,0,0.500185132,0,-0.087085426,0,0.040507674,0,-0.019189596,0,0.414085627,0,0.301687837,0,1.787177205,0,-0.033325195,0,0.770129919,0,-0.5947096,-0.219255,-1.358207,-1.18671,-1.89012,-1.462291,-3.103078,-0.770382,-2.040536,-1.164,-0.9151893,0.4655614,0.05764792,-2.168215,-0.9147063,-0.2810035,-2.471475,-1.881374,-2.281378,0.4421837,-9.34086,5.130965,2.416128,267.7222,214.081,0,0,305.7874,222.7957,361.0711,218.315,0,0,400.732,215.2171,332.9146,277.3575,0,0
24,1,214,154,227,227,-0.30513525,0,0.761866927,0,0.239078373,0,0.245291233,0,-0.106663287,0,-0.054316998,0,-0.083528519,0,0.328834653,0,0.26377666,0,1.797956944,0,-0.30513525,0,0.761866927,0,-0.5294108,-0.204762,-1.322671,-1.200329,-1.993756,-1.569986,-3.167428,-0.880558,-2.137447,-1.213823,-1.074095,0.568561,0.1200624,-2.515094,-0.8809569,-0.2840913,-2.621672,-2.034055,-2.638464,0.3596336,-9.2818,5.019827,2.43772,267.9655,215.5217,0,0,306.5314,222.9214,361.1377,217.6846,0,0,402.9496,215.2561,333.5737,277.2006,0,0
25,1,214,154,226,226,-0.29191494,0,0.695344687,0,0.264770016,0,0.28674531,0,-0.092286468,0,-0.038395882,0,-0.100255966,0,0.272089124,0,0.182903171,0,1.830885172,0,-0.29191494,0,0.695344687,0,-0.4686848,-0.1582045,-1.279066,-1.06455,-2.020877,-1.481224,-3.20549,-0.901316,-2.186592,-1.24799,-1.078002,0.5159445,-0.01318561,-2.434938,-0.9696212,-0.3679648,-2.570095,-2.021827,-2.577424,0.1917673,-9.122964,4.980634,2.35036,268.3039,215.8433,0,0,306.4802,222.8019,361.187,217.7144,0,0,401.8301,214.502,333.8553,277.7517,0,0
26,1,215,154,224,224,-0.26128912,0,0.561810017,0,0.331326418,0,0.393473625,0,-0.084243417,0,-0.13546586,0,-0.083095551,0,0.223766208,0,0.054881215,0,1.914762497,0,-0.26128912,0,0.561810017,0,-0.4213371,-0.07527123,-1.231514,-0.9077414,-2.05658,-1.385839,-3.337847,-0.9554412,-2.22232,-1.271918,-1.098801,0.4136424,-0.1553498,-2.289868,-1.119919,-0.4451365,-2.548623,-1.991792,-2.422817,0.1436057,-9.451633,5.068134,2.521543,268.8048,215.637,0,0,306.5044,222.5511,360.9675,217.8456,0,0,401.0733,214.5351,334.1014,277.5308,0,0
